Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
114,train_9x9_0269,9,268,-5.34,1,-0.0693
115,train_9x9_0435,9,22,1.54,1,-0.0693
116,train_9x9_0208,9,500,-12.99,0,-0.0693
117,train_9x9_0215,9,500,-13.11,0,-0.0693
118,train_9x9_0105,9,500,-13.16,0,-0.0693
119,train_9x9_0006,9,500,-14.59,0,-0.0693
120,train_9x9_0429,9,500,-12.75,0,-0.0693
121,train_9x9_0485,9,106,-0.82,1,-0.0693
122,train_9x9_0359,9,500,-13.28,0,-0.0693
123,train_9x9_0258,9,500,-13.1,0,-0.0693
124,train_9x9_0273,9,500,-13.31,0,-0.0693
125,train_9x9_0305,9,160,-2.71,1,-0.0693
126,train_9x9_0111,9,109,-0.53,1,-0.0693
127,train_9x9_0067,9,500,-13.67,0,-0.0693
128,train_9x9_0205,9,98,-0.28,1,-0.0693
129,train_9x9_0389,9,132,-1.64,1,-0.0693
130,train_9x9_0483,9,160,-3.04,1,-0.0693
131,train_9x9_0091,9,500,-13.82,0,-0.0693
132,train_9x9_0093,9,234,-4.09,1,-0.0693
133,train_9x9_0481,9,500,-14.11,0,-0.0693
134,train_9x9_0129,9,325,-7.41,1,-0.0693
135,train_9x9_0183,9,467,-11.26,1,-0.0693
136,train_9x9_0353,9,191,-3.02,1,-0.0693
137,train_9x9_0494,9,155,-1.54,1,-0.0693
138,train_9x9_0218,9,164,-1.64,1,-0.0693
139,train_9x9_0125,9,500,-14.24,0,-0.0693
140,train_9x9_0359,9,500,-13.01,0,-0.0693
141,train_9x9_0171,9,438,-10.52,1,-0.0693
142,train_9x9_0308,9,257,-4.33,1,-0.0693
143,train_9x9_0258,9,371,-8.11,1,-0.0693
144,train_9x9_0013,9,500,-13.32,0,-0.0693
145,train_9x9_0345,9,500,-13.24,0,-0.0693
146,train_9x9_0266,9,500,-12.83,0,-0.0693
147,train_9x9_0359,9,500,-14.56,0,-0.0693
148,train_9x9_0109,9,451,-10.66,1,-0.0693
149,train_9x9_0098,9,132,-1.46,1,-0.0693
150,train_9x9_0302,9,500,-13.96,0,-0.0693
151,train_9x9_0439,9,443,-10.49,1,-0.0693
152,train_9x9_0231,9,274,-6.1,1,-0.0693
153,train_9x9_0360,9,420,-10.09,1,-0.0693
154,train_9x9_0323,9,219,-4.89,1,-0.0693
155,train_9x9_0193,9,500,-14.66,0,-0.0693
156,train_9x9_0083,9,79,0.11,1,-0.0693
157,train_9x9_0060,9,500,-13.79,0,-0.0693
158,train_9x9_0188,9,500,-13.28,0,-0.0693
159,train_9x9_0295,9,500,-14.18,0,-0.0693
160,train_9x9_0406,9,238,-4.29,1,-0.0693
161,train_9x9_0298,9,500,-14.0,0,-0.0693
162,train_9x9_0496,9,500,-13.22,0,-0.0693
163,train_9x9_0022,9,500,-13.98,0,-0.0693
164,train_9x9_0240,9,500,-14.44,0,-0.0693
165,train_9x9_0118,9,342,-7.77,1,-0.0693
166,train_9x9_0036,9,500,-14.2,0,-0.0693
167,train_9x9_0260,9,500,-12.75,0,-0.0693
168,train_9x9_0497,9,60,0.75,1,-0.0693
169,train_9x9_0110,9,51,0.34,1,-0.0693
170,train_9x9_0072,9,309,-6.29,1,-0.0693
171,train_9x9_0400,9,169,-3.03,1,-0.0693
172,train_9x9_0310,9,500,-14.07,0,-0.0693
173,train_9x9_0025,9,237,-4.3,1,-0.0693
174,train_9x9_0494,9,207,-3.13,1,-0.0693
175,train_9x9_0229,9,93,0.04,1,-0.0693
176,train_9x9_0164,9,463,-10.43,1,-0.0693
177,train_9x9_0326,9,100,-0.45,1,-0.0693
178,train_9x9_0423,9,367,-7.5,1,-0.0693
179,train_9x9_0005,9,73,-0.63,1,-0.0693
180,train_9x9_0086,9,15,1.93,1,-0.0693
181,train_9x9_0463,9,500,-13.09,0,-0.0693
182,train_9x9_0351,9,477,-11.48,1,-0.0693
183,train_9x9_0398,9,500,-13.52,0,-0.0693
184,train_9x9_0257,9,500,-14.27,0,-0.0693
185,train_9x9_0318,9,500,-14.2,0,-0.0693
186,train_9x9_0247,9,66,0.28,1,-0.0693
187,train_9x9_0236,9,112,-1.01,1,-0.0693
188,train_9x9_0313,9,500,-14.04,0,-0.0693
189,train_9x9_0071,9,178,-2.71,1,-0.0693
190,train_9x9_0401,9,482,-10.81,1,-0.0693
191,train_9x9_0321,9,164,-2.96,1,-0.0693
192,train_9x9_0014,9,500,-12.59,0,-0.0693
193,train_9x9_0473,9,500,-12.92,0,-0.0693
194,train_9x9_0444,9,500,-14.15,0,-0.0693
195,train_9x9_0262,9,381,-9.37,1,-0.0693
196,train_9x9_0327,9,236,-4.09,1,-0.0693
197,train_9x9_0105,9,51,0.49,1,-0.0693
198,train_9x9_0020,9,500,-14.34,0,-0.0693
199,train_9x9_0035,9,500,-14.12,0,-0.0693
200,train_9x9_0027,9,500,-13.98,0,-0.0693
201,train_9x9_0328,9,123,-1.16,1,-0.0693
202,train_9x9_0423,9,388,-8.18,1,-0.0693
203,train_9x9_0468,9,500,-13.78,0,-0.0693
204,train_9x9_0106,9,272,-5.09,1,-0.0693
205,train_9x9_0108,9,500,-13.72,0,-0.0693
206,train_9x9_0335,9,190,-2.89,1,-0.0693
207,train_9x9_0112,9,500,-14.1,0,-0.0693
208,train_9x9_0378,9,500,-14.46,0,-0.0693
209,train_9x9_0247,9,271,-5.71,1,-0.0693
