Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
116,train_9x9_0238,9,449,-10.19,1,0.6021
117,train_9x9_0486,9,500,-13.24,0,-0.3952
118,train_9x9_0219,9,500,-13.14,0,-0.3874
119,train_9x9_0007,9,500,-12.87,0,-0.4046
120,train_9x9_0362,9,500,-14.12,0,-0.4823
121,train_9x9_0479,9,500,-13.38,0,-0.4852
122,train_9x9_0090,9,500,-14.06,0,-0.5002
123,train_9x9_0236,9,53,0.04,1,4.7814
124,train_9x9_0353,9,246,-4.54,1,1.3057
125,train_9x9_0257,9,70,0.23,1,5.6818
126,train_9x9_0438,9,300,-6.17,1,0.6892
127,train_9x9_0392,9,500,-13.6,0,-0.471
128,train_9x9_0412,9,499,-11.84,1,-0.0667
129,train_9x9_0191,9,350,-8.33,1,0.273
130,train_9x9_0131,9,179,-3.37,1,1.6359
131,train_9x9_0191,9,500,-14.06,0,-0.4998
132,train_9x9_0210,9,500,-13.84,0,-0.6036
133,train_9x9_0415,9,500,-13.75,0,-0.5902
134,train_9x9_0496,9,238,-4.09,1,1.0992
135,train_9x9_0134,9,500,-13.99,0,-0.588
136,train_9x9_0441,9,500,-12.64,0,-0.4743
137,train_9x9_0442,9,167,-2.2,1,2.5967
138,train_9x9_0052,9,185,-3.57,1,1.228
139,train_9x9_0295,9,326,-6.92,1,0.4013
140,train_9x9_0124,9,297,-5.49,1,0.7896
141,train_9x9_0312,9,500,-14.32,0,-0.5717
142,train_9x9_0416,9,223,-3.95,1,1.2921
143,train_9x9_0010,9,500,-14.25,0,-0.5803
144,train_9x9_0305,9,416,-9.43,1,0.3145
145,train_9x9_0107,9,207,-3.65,1,1.0659
146,train_9x9_0148,9,125,-1.01,1,2.2431
147,train_9x9_0335,9,500,-13.42,0,-0.4723
148,train_9x9_0050,9,500,-12.81,0,-0.5228
149,train_9x9_0307,9,210,-3.98,1,0.9818
150,train_9x9_0395,9,500,-13.78,0,-0.5816
151,train_9x9_0063,9,207,-3.81,1,1.5284
152,train_9x9_0431,9,329,-6.76,1,0.4345
153,train_9x9_0409,9,500,-14.31,0,-0.5597
154,train_9x9_0302,9,500,-13.08,0,-0.4627
155,train_9x9_0494,9,239,-4.23,1,1.1541
156,train_9x9_0052,9,376,-8.39,1,0.0951
157,train_9x9_0133,9,500,-13.4,0,-0.534
158,train_9x9_0374,9,500,-13.08,0,-0.4568
159,train_9x9_0138,9,104,-0.22,1,3.9612
160,train_9x9_0225,9,444,-10.39,1,0.3322
161,train_9x9_0041,9,500,-13.38,0,-0.4148
162,train_9x9_0077,9,500,-13.23,0,-0.3893
163,train_9x9_0126,9,500,-13.38,0,-0.4669
164,train_9x9_0126,9,500,-14.63,0,-0.5291
165,train_9x9_0157,9,244,-5.72,1,0.7929
166,train_9x9_0349,9,489,-11.57,1,0.2445
167,train_9x9_0307,9,131,-1.34,1,2.307
168,train_9x9_0441,9,500,-12.76,0,-0.4363
169,train_9x9_0281,9,500,-13.17,0,-0.257
170,train_9x9_0374,9,500,-13.12,0,-0.3598
171,train_9x9_0260,9,500,-13.0,0,-0.2501
172,train_9x9_0044,9,500,-12.91,0,-0.3551
173,train_9x9_0403,9,403,-8.66,1,0.5652
174,train_9x9_0370,9,500,-14.86,0,-0.3738
175,train_9x9_0439,9,87,0.04,1,4.9722
176,train_9x9_0477,9,26,1.23,1,6.0838
177,train_9x9_0043,9,375,-8.38,1,0.7713
178,train_9x9_0377,9,500,-14.54,0,-0.4502
179,train_9x9_0253,9,346,-7.69,1,0.4117
180,train_9x9_0161,9,130,-1.1,1,2.4042
181,train_9x9_0294,9,500,-14.64,0,-0.4802
